Date,Sample,Field,NDF,Clouds,Species,Type,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
8-May,S1,K6,60.7092,fair,cattle,Lab,0,0.99,5.73,6.61,1.52,0.73,2.2,1.06,0.92,0.44,0.6,0,3.38,1.121,0.82,0.83,1.63,2.15,21.3
8-May,S1,P1,38.45696,mostly cloudy,horse,Lab,0,0.99,5.73,5.66,1.52,0.73,0.55,0,0.92,0.44,0.6,0,0,1.02,0.82,0.83,0.82,1.08,19
8-May,S1,P1,38.45696,mostly cloudy,horse,Field,1002.511,960.035,1141.53,915.173,924.78,1052.837,1077.744,1119.551,435.698,733.473,1994.849,1140.735,808.633,644.581,4582.331,5560.243,7496.563,8186.102,50.4
8-May,S1,P2,53.3689,mostly cloudy,cattle,Lab,0,0.99,8.59,6.61,2.28,1.46,2.2,1.06,0.92,0.44,0.6,0,2.25,1.828,0.82,1.66,1.63,2.15,22.3
8-May,S1,P2,53.3689,mostly cloudy,cattle,Field,652.718,716.211,979.366,682.55,712.316,852.077,748.842,797.26,382.044,577.49,1193.358,682.039,749.757,748.49,2943.138,3302.043,4058.014,4095.085,33.7
8-May,S1,P3,46.99577747,mostly cloudy,horse,Lab,0,1.99,9.55,7.720909091,2.28,5.11,3.94,1.684545455,1.39,1.41,1.2,0,4.705454545,3.235454545,1.63,2.49,2.45,3.23,21.90909091
8-May,S1,P3,46.99577747,mostly cloudy,horse,Field,959.5836364,1000.739091,1223.228182,877.5845455,883.64,1010.212727,986.0845455,1129.694545,492.6618182,769.8736364,1543.920909,1013.145455,930.2836364,920.0636364,3885.620909,3857.164545,5219.145455,5373.086364,34.09090909
8-May,S1,P4,52.10840168,mostly cloudy,cattle/sheep,Field,920.128,952.073,1273.314,730.333,753.608,926.75,786.457,889.87,357.844,619.784,1861.842,1143.456,603.089,555.898,4286.728,5183.889,5434.002,5697.629,34.7
8-May,S1,P4,52.10840168,mostly cloudy,cattle/sheep,Lab,0,0.99,8.59,6.61,2.28,2.92,2.74,1.06,0.92,0.89,0.6,0,3.267,2.03,1.63,1.66,1.63,2.15,22.1
8-May,S1,P5,60.25853171,mostly cloudy,none,Field,2027.95,1916.753,2278.893,1736.82,1719.303,1790.563,1674.047,2013.377,783.305,1225.599,3855.581,2243.373,1289.231,1081.558,8918.078,10946.058,14063.579,14007.836,46.3
8-May,S1,P5,60.25853171,mostly cloudy,none,Lab,0,0.99,5.73,4.72,0.76,0,0,0,0.46,0,0.6,0,0,0.834545455,0.149090909,0,0,1.08,20.72727273
8-May,S1,P6,36.51352647,fair,horse,Field,2212.561,2429.525,3232.603,1870.87,2540.256,3322.877,3007.084,3165.96,1675.805,2255.3,4779.473,2944.554,3577.368,2854.769,14122.728,14571.672,15362.629,14879.584,43.5
8-May,S1,P6,36.51352647,fair,horse,Lab,0,0.99,5.73,4.72,1.52,0.146,0.55,0,0.506,0.396,0.6,0,0,1.02,0.82,0.83,0.82,1.08,20.5
8-May,S2,K1,55.83816946,fair,cattle,Lab,0,0.99,6.68,5.66,1.52,1.46,1.1,0.53,0.92,0.44,0.6,0,1.13,1.323,0.82,1.66,1.63,2.15,18.9
8-May,S2,K1,55.83816946,fair,cattle,Field,1519.397,1640.983,2614.977,1392.977,1406.54,1673.138,1295.03,1527.634,744.781,1214.961,2743.248,1584.512,1404.666,2111.642,6093.045,7195.644,7676.657,8107.897,37.9
8-May,S2,K2,41.01764588,fair,cattle,Field,2983.932,3118.624,3811.056,2109.95,1977.714,2184.816,1612.717,2202.225,1185.688,1300.672,4302.821,3299.65,1951.313,1311.788,12871.983,12658.157,10774.766,9911.938,27.6
8-May,S2,K2,41.01764588,fair,cattle,Lab,0,0.99,6.68,5.66,1.52,1.46,1.65,1.06,0.92,0.44,0.6,0,2.763636364,1.111818182,0.82,0.83,0.82,1.371818182,21.81818182
8-May,S2,K3,58.65668866,fair,cattle,Field,2264.84,2394.449,2975.792,2277.535,2274.037,2509.081,2503.559,2628.006,1090.099,1676.424,4272.976,2566.937,2316.937,1600.995,9850.386,11831.307,14251.264,14656.129,68
8-May,S2,K3,58.65668866,fair,cattle,Lab,0,0.99,5.73,4.72,1.52,0.73,0.55,0.53,0.92,0.44,0.6,0,1.13,1.02,0.82,0.83,0.82,1.08,22
8-May,S2,K4,54.28145854,fair,cattle,Field,972.575,1166.794,1824.909,871.02,945.051,1273.784,943.369,997.704,446.833,791.033,1968.211,1181.275,905.329,980.008,4555.146,5813.754,5403.556,5573.875,40.4
8-May,S2,K4,54.28145854,fair,cattle,Lab,0,0.99,7.64,6.61,1.52,0.73,1.1,0.53,0.92,0.44,0.6,0,1.13,1.222,0.82,0.83,0.82,2.043,22.1
8-May,S2,K5,49.58043217,fair,cattle,Lab,0,0.99,7.64,7.55,1.52,1.46,1.1,0.53,0.92,0.44,0.6,0,1.13,1.846363636,0.82,0.83,1.63,2.15,21.72727273
8-May,S2,K5,49.58043217,fair,cattle,Field,4177.555,5200.235,8087.945,4801.227,5698.834,6865.861,5803.386,5958.85,3735.809,5082.597,7588.451,4664.197,7679.403,8740.495,18047.609,19866.741,21625.692,23842.847,52.1
8-May,S2,K6,57.754,fair,cattle,Field,2814.416,3166.877,5295.616,2243.999,2462.027,3625.203,2386.675,2786.621,1227.893,2610.381,6693.481,3965.267,2004.753,2897.129,11463.064,17143.995,15563.684,19019.058,79.3
8-May,S2,K6,57.754,fair,cattle,Lab,0,0.99,5.73,5.66,1.52,0.73,2.2,1.06,0.92,0.44,0.6,0,1.231818182,1.02,0.82,0.83,0.745454545,1.08,21.27272727
8-May,S2,P1,48.63190638,mostly cloudy,horse,Field,1007.263,1043.175,1357.314,883.583,918.324,1066.109,953.403,1071.13,431.566,738.404,2051.639,1208.583,777.285,686.187,4945.436,5756.038,6777.128,6728.459,40.4
8-May,S2,P1,48.63190638,mostly cloudy,horse,Lab,0,0.99,4.77,4.72,1.52,0.73,0.55,0.53,0.92,0.44,1.2,0,1.13,1.02,1.549,2.49,2.45,3.23,19
8-May,S2,P2,42.20727709,mostly cloudy,cattle,Field,1073.72,1012.934,1346.479,1036.924,988.294,1084.551,1047.695,1253.216,527.021,772.264,2138.4,1161.757,1017.758,673.534,5118.329,5944.001,7270.579,7284.14,35.1
8-May,S2,P2,42.20727709,mostly cloudy,cattle,Lab,0,0.99,5.73,5.66,1.52,0.73,0.55,0.53,0.874,0.44,0.6,0,0.113,1.02,0.82,0.83,0.82,1.829,21.9
8-May,S2,P3,51.49260444,mostly cloudy,horse,Field,894.196,990.275,1357.592,887.564,967.875,1190.171,1066.924,1107.021,489.89,818.363,1937.503,1098.318,966.748,862.051,4226.757,5257.271,6199.928,6843.849,43.1
8-May,S2,P3,51.49260444,mostly cloudy,horse,Lab,0,0.99,5.380909091,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0.670909091,0.452727273,0.82,1.08,20
8-May,S2,P4,50.97340128,mostly cloudy,cattle/sheep,Lab,0,0.792,4.77,3.77,0.76,0,0.55,0,0.46,0,0.6,0,0,0.918,0.82,0.83,0.82,1.08,22.6
8-May,S2,P4,50.97340128,mostly cloudy,cattle/sheep,Field,1054.625,1119.394,1444.185,819.081,848.729,998.42,806.976,978.245,392.953,653.99,2242.854,1340.711,610.262,587.638,5075.67,6574.377,6876.317,7018.616,39
8-May,S2,P5,56.10876351,mostly cloudy,none,Field,1862.435,1894.761,2702.31,1597.815,1676.135,1976.303,1753.428,1967.378,752.817,1382.75,4190.348,2356.544,1218.789,1270.397,7962.934,11434.95,13755.83,15212.388,47.5
8-May,S2,P5,56.10876351,mostly cloudy,none,Lab,0,0.99,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0.82,0.83,0.82,1.08,21
8-May,S2,P6,52.58935065,fair,horse,Lab,0,0.99,6.68,4.72,1.52,0,0,0,0.92,0.04,0.6,0,0,1.02,0.82,0,0,1.08,20.36363636
8-May,S2,P6,52.58935065,fair,horse,Field,2319.622,2244.854,3117.673,2077.829,2015.179,2379.5,2062.762,2510.829,1217.342,1803.998,4307.322,2688.928,2321.564,2182.523,10634.306,11679.097,13467.399,13229.164,46.6
15-May,S1,K2,56.4209758,light rain,cattle,Lab,0,0.99,5.73,5.66,1.52,0,0.55,0,0.46,0.12,0.6,0,0,1.02,0.149090909,0,0,1.08,19.27272727
15-May,S1,K2,56.4209758,light rain,cattle,Field,216.712,231.312,319.881,203.418,210.06,241.974,212.129,226.77,101.605,143.788,451.617,179.049,202.068,166.854,1057.109,1477.657,1484.149,1851.218,45.2
15-May,S1,K3,56.75094038,light rain,cattle,Field,316.103,325.352,383.967,276.152,286.489,305.472,301.71,323.445,137.84,182.017,540.164,267.729,278.067,209.856,1527.362,1773.818,1958.279,2044.577,76.8
15-May,S1,K3,56.75094038,light rain,cattle,Lab,0,0.99,4.77,4.72,1.52,1.46,2.74,1.06,0.92,0.44,0.6,0,2.558181818,1.02,0.82,0.83,1.63,2.052727273,20
15-May,S1,K4,64.51313212,light rain,cattle,Lab,0,0.396,4.77,4.53,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0,0,0,1.08,20.2
15-May,S1,K4,64.51313212,light rain,cattle,Field,481.536,478.36,588.639,404.718,418.921,525.791,433.676,477.445,233.025,330.563,801.368,393.195,445.203,382.61,2045.542,2352.352,2546.352,3067.972,76
15-May,S1,K5,68.57089164,light rain,cattle,Field,322.441,328.386,448.055,275.18,297.301,366.175,299.807,322.95,146.862,242.734,568.161,261.255,266.617,362.665,1319.585,1634.976,1750.929,2237.243,42
15-May,S1,K5,68.57089164,light rain,cattle,Lab,0,0.99,9.55,8.49,2.28,2.92,2.543636364,1.06,0.92,0.89,0.6,0,3.38,2.03,0.82,0.83,0.82,1.08,21.90909091
15-May,S1,K6,62.32180872,light rain,cattle,Field,360.63,375.31,519.087,349.328,378.005,434.28,400.209,407.811,182.424,287.016,712.883,313.994,391.999,330.386,1585.745,2057.382,2286.817,2771.191,64.8
15-May,S1,K6,62.32180872,light rain,cattle,Lab,0,0.99,5.73,4.72,0.76,0.398181818,0,0,0.46,0.12,0.6,0,0,1.02,0,0,0,1.08,18.90909091
15-May,S1,P1,51.00425659,cloudy,horse,Field,64.452,63.614,81.869,54.593,53.751,53.648,48.546,60.185,27.3,32.389,113.151,55.928,48.347,33.886,295.602,352.772,370.799,374.752,56.2
15-May,S1,P1,51.00425659,cloudy,horse,Lab,0,0.891,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,0.918,0.082,0,0,1.08,18.9
15-May,S1,P2,54.17354,cloudy,cattle,Lab,0,0.792,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,0.918,0,0,0,1.08,20.5
15-May,S1,P2,54.17354,cloudy,cattle,Field,71.21,73.376,96.411,58.044,60.435,70.27,57.852,66.39,26.85,42.638,144.043,64.844,43.835,41.283,325.129,455.522,459.639,530.578,36.4
15-May,S1,P3,57.15958383,cloudy,horse,Field,53.529,56.595,76.405,44.24,49.325,63.57,51.57,54.465,22.855,39.527,116.543,47.86,41.988,39.782,289.079,380.183,361.312,451.679,51.5
15-May,S1,P3,57.15958383,cloudy,horse,Lab,0,0.99,5.73,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0.164,0,0,1.08,21.7
15-May,S1,P4,58.1674865,cloudy,cattle/sheep,Lab,0,0.99,4.77,4.72,0.76,0,0,0,0.46,0,0.6,0,0,1.02,0.149090909,0,0,1.08,20.90909091
15-May,S1,P4,58.1674865,cloudy,cattle/sheep,Field,51.028,50.715,66.587,41.766,44.29,50.5,44.794,48.865,19.76,30.744,110.562,41.854,33.656,32.063,256.623,367.924,365.107,458.302,55.6
15-May,S1,P5,56.80404162,cloudy,none,Lab,0,0.99,4.77,3.77,0.76,0,0.55,0,0.46,0,0.6,0,0,1.02,0.298181818,0,0,1.08,21.18181818
15-May,S1,P5,56.80404162,cloudy,none,Field,71.96,90.25,131.416,74.505,83.858,107.225,86.946,85.575,35.695,63.913,186.834,72.165,76.802,72.594,391.627,629.355,584.449,760.544,80.8
15-May,S1,P6,53.35536464,cloudy,horse,Field,123.073,118.5,161.515,101.399,113.285,137.052,121.818,129.93,57.695,84.887,263.548,102.851,112.544,87.075,665.314,892.145,893.577,1031.18,57.8
15-May,S1,P6,53.35536464,cloudy,horse,Lab,0,0.99,6.68,7.174,1.52,0.657,0,0,0.92,0.176,0.6,0,0,1.02,0.574,0,0,1.08,17.8
15-May,S2,K1,54.17359584,light rain,cattle,Lab,0,0.99,4.77,4.72,0.829090909,0.398181818,0.55,0.144545455,0.46,0.44,0.6,0,0,1.02,0.447272727,0,0.074545455,1.08,19
15-May,S2,K1,54.17359584,light rain,cattle,Field,239.309,268.757,390.171,210.145,232.509,286.959,229.227,250.016,111.754,191.963,586.844,233.007,205.077,201.17,1245.895,1872.229,1765.85,2311.611,57.8
15-May,S2,K2,65.19481481,light rain,cattle,Field,285.921,306.106,428.791,268.81,293.771,360.936,318.755,319.047,136.988,212.676,617.489,250.462,283.963,226.153,1569.017,2081.473,2057.298,2424.445,39.8
15-May,S2,K2,65.19481481,light rain,cattle,Lab,0,0.99,6.68,4.72,0.76,0,0,0,0.627272727,0,0.6,0,0,1.02,0.82,0,0,1.08,17.09090909
