N,Method,Metric,Bias,Variance,Time
50,In-Sample,Correlation,0.33606797915252573,0,0.00074005126953125
50,In-Sample,R2,0.34316762111955135,0,0.00074005126953125
50,In-Sample,RMSE,-0.11366108235782246,0,0.00074005126953125
50,In-Sample,Correlation,0.5483117142949432,0,0.0006990432739257812
50,In-Sample,R2,0.7685109072504748,0,0.0006990432739257812
50,In-Sample,RMSE,-0.4231137752595202,0,0.0006990432739257812
50,In-Sample,Correlation,0.4378945646124196,0,0.0006811618804931641
50,In-Sample,R2,0.5335115170400716,0,0.0006811618804931641
50,In-Sample,RMSE,-0.2649339731666488,0,0.0006811618804931641
50,In-Sample,Correlation,0.5169734903070544,0,0.0006761550903320312
50,In-Sample,R2,0.48833914974126347,0,0.0006761550903320312
50,In-Sample,RMSE,-0.326705617388114,0,0.0006761550903320312
50,In-Sample,Correlation,0.49346987665343806,0,0.0007150173187255859
50,In-Sample,R2,0.5403982887655572,0,0.0007150173187255859
50,In-Sample,RMSE,-0.24857372632375585,0,0.0007150173187255859
50,In-Sample,Correlation,0.45890247520050337,0,0.0006849765777587891
50,In-Sample,R2,0.4788020687623805,0,0.0006849765777587891
50,In-Sample,RMSE,-0.24899483256951271,0,0.0006849765777587891
50,In-Sample,Correlation,0.5460139833080253,0,0.0007078647613525391
50,In-Sample,R2,0.8825928690178608,0,0.0007078647613525391
50,In-Sample,RMSE,-0.38584461340651266,0,0.0007078647613525391
50,In-Sample,Correlation,0.44439048658673097,0,0.0007929801940917969
50,In-Sample,R2,0.3522287911330343,0,0.0007929801940917969
50,In-Sample,RMSE,-0.2970632575117028,0,0.0007929801940917969
50,In-Sample,Correlation,0.49046589678711805,0,0.0007159709930419922
50,In-Sample,R2,0.7478758939932455,0,0.0007159709930419922
50,In-Sample,RMSE,-0.3573705184862628,0,0.0007159709930419922
50,In-Sample,Correlation,0.3068595495295278,0,0.0006930828094482422
50,In-Sample,R2,0.20956584527172506,0,0.0006930828094482422
50,In-Sample,RMSE,-0.1477574480005973,0,0.0006930828094482422
50,In-Sample,Correlation,0.3038089230414886,0,0.0006799697875976562
50,In-Sample,R2,0.22846146507996035,0,0.0006799697875976562
50,In-Sample,RMSE,-0.08395207085416534,0,0.0006799697875976562
50,In-Sample,Correlation,0.5050330673711981,0,0.0007910728454589844
50,In-Sample,R2,0.5557412705897378,0,0.0007910728454589844
50,In-Sample,RMSE,-0.2497412826823744,0,0.0007910728454589844
50,In-Sample,Correlation,0.3494981417400246,0,0.0006911754608154297
50,In-Sample,R2,0.3076042805522553,0,0.0006911754608154297
50,In-Sample,RMSE,-0.10994942792386253,0,0.0006911754608154297
50,In-Sample,Correlation,0.3444619024022007,0,0.0006778240203857422
50,In-Sample,R2,0.26448923401550495,0,0.0006778240203857422
50,In-Sample,RMSE,-0.1833951590949804,0,0.0006778240203857422
50,In-Sample,Correlation,0.36463439662070324,0,0.0007312297821044922
50,In-Sample,R2,0.2947002996612096,0,0.0007312297821044922
50,In-Sample,RMSE,-0.18793522866832024,0,0.0007312297821044922
50,In-Sample,Correlation,0.5469505271033615,0,0.0006799697875976562
50,In-Sample,R2,0.9367815459291866,0,0.0006799697875976562
50,In-Sample,RMSE,-0.3201956747332606,0,0.0006799697875976562
50,In-Sample,Correlation,0.5579665671531947,0,0.0006730556488037109
50,In-Sample,R2,0.7214987986790709,0,0.0006730556488037109
50,In-Sample,RMSE,-0.29298900283790463,0,0.0006730556488037109
50,In-Sample,Correlation,0.48120386999877285,0,0.0010461807250976562
50,In-Sample,R2,0.4062693478849848,0,0.0010461807250976562
50,In-Sample,RMSE,-0.2833084860583793,0,0.0010461807250976562
50,In-Sample,Correlation,0.3647504328738227,0,0.0006780624389648438
50,In-Sample,R2,0.27941590769198676,0,0.0006780624389648438
50,In-Sample,RMSE,-0.21148649500321137,0,0.0006780624389648438
50,In-Sample,Correlation,0.45220636966638916,0,0.0008409023284912109
50,In-Sample,R2,0.5120026336301834,0,0.0008409023284912109
50,In-Sample,RMSE,-0.26399381631398855,0,0.0008409023284912109
50,In-Sample,Correlation,0.5662775817598373,0,0.0008540153503417969
50,In-Sample,R2,0.9310180279662559,0,0.0008540153503417969
50,In-Sample,RMSE,-0.5357897646721025,0,0.0008540153503417969
50,In-Sample,Correlation,0.5194450812213148,0,0.0007290840148925781
50,In-Sample,R2,0.5804420650254108,0,0.0007290840148925781
50,In-Sample,RMSE,-0.26424562918694394,0,0.0007290840148925781
50,In-Sample,Correlation,0.5406528227512557,0,0.0007009506225585938
50,In-Sample,R2,0.6091816323973867,0,0.0007009506225585938
50,In-Sample,RMSE,-0.37283507037536456,0,0.0007009506225585938
50,In-Sample,Correlation,0.48441749550990915,0,0.0007569789886474609
50,In-Sample,R2,0.7432986691015668,0,0.0007569789886474609
50,In-Sample,RMSE,-0.28221157891027926,0,0.0007569789886474609
50,In-Sample,Correlation,0.5094880735377463,0,0.0007112026214599609
50,In-Sample,R2,0.49175695990054014,0,0.0007112026214599609
50,In-Sample,RMSE,-0.3904257786009705,0,0.0007112026214599609
50,In-Sample,Correlation,0.5393350763241322,0,0.0006823539733886719
50,In-Sample,R2,0.6582988746350098,0,0.0006823539733886719
50,In-Sample,RMSE,-0.29371291527046994,0,0.0006823539733886719
50,In-Sample,Correlation,0.5140984715556152,0,0.0007448196411132812
50,In-Sample,R2,0.6461221517577909,0,0.0007448196411132812
50,In-Sample,RMSE,-0.4130971076677281,0,0.0007448196411132812
50,In-Sample,Correlation,0.5037002719565369,0,0.0006768703460693359
50,In-Sample,R2,0.6041505339026536,0,0.0006768703460693359
50,In-Sample,RMSE,-0.2132892534511447,0,0.0006768703460693359
50,In-Sample,Correlation,0.5638307075613078,0,0.0006778240203857422
50,In-Sample,R2,0.8275305483444116,0,0.0006778240203857422
