metric,mean,method,i,dataset
CCC,0.24598385530570774,FS0_HT1,7,spectral
MAE,4.843619903783645,FS0_HT1,7,spectral
R2,0.03949522458954766,FS0_HT1,7,spectral
RMSE,6.112778594299504,FS0_HT1,7,spectral
RMSPE,0.1226533438656614,FS0_HT1,7,spectral
RSR,0.9784966702953793,FS0_HT1,7,spectral
r,0.30793843445887875,FS0_HT1,7,spectral
r2,0.10647342192071949,FS0_HT1,7,spectral
CCC,0.20387875496787605,FS1_HT0,7,spectral
MAE,4.854731473042729,FS1_HT0,7,spectral
R2,-0.005989622607680989,FS1_HT0,7,spectral
RMSE,6.253815523824024,FS1_HT0,7,spectral
RMSPE,0.12759325973844157,FS1_HT0,7,spectral
RSR,1.0009087582472285,FS1_HT0,7,spectral
r,0.25296698323185346,FS1_HT0,7,spectral
r2,0.08067517065530147,FS1_HT0,7,spectral
CCC,0.19420272805899477,FS1_HT1,7,spectral
MAE,4.953020409802335,FS1_HT1,7,spectral
R2,-0.016325582868078746,FS1_HT1,7,spectral
RMSE,6.2998501757482686,FS1_HT1,7,spectral
RMSPE,0.12799073894133386,FS1_HT1,7,spectral
RSR,1.0072595992411189,FS1_HT1,7,spectral
r,0.24381924138190025,FS1_HT1,7,spectral
r2,0.06604413635405204,FS1_HT1,7,spectral
CCC,0.31580899601011014,FS0_HT0,8,simulated
MAE,0.7870353689115928,FS0_HT0,8,simulated
R2,-0.15678463239680712,FS0_HT0,8,simulated
RMSE,0.9485890391598912,FS0_HT0,8,simulated
RMSPE,15.050884104869542,FS0_HT0,8,simulated
RSR,1.0536831707681964,FS0_HT0,8,simulated
r,0.4077476207800297,FS0_HT0,8,simulated
r2,0.18340040607533453,FS0_HT0,8,simulated
CCC,0.2907461712659691,FS0_HT1,8,simulated
