metric,mean,method,i,dataset
RMSPE,2.8077658041648896,FS0_HT1,4,simulated
RSR,0.9916236698287915,FS0_HT1,4,simulated
r,0.43228801540998063,FS0_HT1,4,simulated
r2,0.31456745087187254,FS0_HT1,4,simulated
CCC,0.13246432628609178,FS1_HT0,4,simulated
MAE,0.7663387871980584,FS1_HT0,4,simulated
R2,-0.2755820904612804,FS1_HT0,4,simulated
RMSE,0.9511126561860884,FS1_HT0,4,simulated
RMSPE,2.2663839453373393,FS1_HT0,4,simulated
RSR,1.1222928269501815,FS1_HT0,4,simulated
r,0.1891193418630037,FS1_HT0,4,simulated
r2,0.04320986455489713,FS1_HT0,4,simulated
CCC,0.12081829249622808,FS1_HT1,4,simulated
MAE,0.7611430488001363,FS1_HT1,4,simulated
R2,-0.13434239206002557,FS1_HT1,4,simulated
RMSE,0.9009476467430269,FS1_HT1,4,simulated
RMSPE,3.099818240726313,FS1_HT1,4,simulated
RSR,1.061703551407077,FS1_HT1,4,simulated
r,0.19217406936213796,FS1_HT1,4,simulated
r2,0.047114069376140585,FS1_HT1,4,simulated
CCC,0.2735552571842624,FS0_HT0,4,spectral
MAE,4.8187663602963715,FS0_HT0,4,spectral
R2,0.05170814201147369,FS0_HT0,4,spectral
RMSE,6.127490214819042,FS0_HT0,4,spectral
RMSPE,0.1222923032607505,FS0_HT0,4,spectral
RSR,0.9730944620146535,FS0_HT0,4,spectral
r,0.329700634686062,FS0_HT0,4,spectral
r2,0.11274095271451734,FS0_HT0,4,spectral
CCC,0.26656516136772135,FS0_HT1,4,spectral
MAE,4.7496631386908685,FS0_HT1,4,spectral
R2,0.06109366714192514,FS0_HT1,4,spectral
RMSE,6.0947887229394135,FS0_HT1,4,spectral
RMSPE,0.1236404995099802,FS0_HT1,4,spectral
RSR,0.9672352505943212,FS0_HT1,4,spectral
r,0.3267204173260797,FS0_HT1,4,spectral
r2,0.11824177420075499,FS0_HT1,4,spectral
CCC,0.2391667408248575,FS1_HT0,4,spectral
MAE,4.934649689356627,FS1_HT0,4,spectral
R2,0.016745812869606126,FS1_HT0,4,spectral
RMSE,6.2397217976191275,FS1_HT0,4,spectral
RMSPE,0.1245237115287993,FS1_HT0,4,spectral
RSR,0.9897353129444951,FS1_HT0,4,spectral
r,0.2926454650802158,FS1_HT0,4,spectral
r2,0.095348903347826,FS1_HT0,4,spectral
CCC,0.25669435414192077,FS1_HT1,4,spectral
MAE,4.773082653511674,FS1_HT1,4,spectral
R2,0.07274993964517766,FS1_HT1,4,spectral
RMSE,6.060981144725931,FS1_HT1,4,spectral
RMSPE,0.12248499397816141,FS1_HT1,4,spectral
RSR,0.9624070210628526,FS1_HT1,4,spectral
r,0.3244879406958042,FS1_HT1,4,spectral
r2,0.109471808686291,FS1_HT1,4,spectral
CCC,0.44311320601542814,FS0_HT0,5,simulated
MAE,0.7465748496802262,FS0_HT0,5,simulated
R2,0.22495476780808157,FS0_HT0,5,simulated
RMSE,0.9139177583274831,FS0_HT0,5,simulated
RMSPE,9.238626318378822,FS0_HT0,5,simulated
RSR,0.8724705689209875,FS0_HT0,5,simulated
r,0.5959780329654202,FS0_HT0,5,simulated
r2,0.37573181993526933,FS0_HT0,5,simulated
CCC,0.44029181674780815,FS0_HT1,5,simulated
MAE,0.7540880846857161,FS0_HT1,5,simulated
R2,0.1951479102182271,FS0_HT1,5,simulated
RMSE,0.9228420678580976,FS0_HT1,5,simulated
RMSPE,10.381678806563583,FS0_HT1,5,simulated
RSR,0.8815375068290937,FS0_HT1,5,simulated
r,0.5724160302133671,FS0_HT1,5,simulated
r2,0.3646574462216295,FS0_HT1,5,simulated
CCC,0.04875097293548426,FS1_HT0,5,simulated
MAE,0.9776957268738304,FS1_HT0,5,simulated
R2,-0.22988045993235512,FS1_HT0,5,simulated
RMSE,1.1681478012195428,FS1_HT0,5,simulated
RMSPE,17.90434322921373,FS1_HT0,5,simulated
RSR,1.1061437681716502,FS1_HT0,5,simulated
r,0.055114504919963746,FS1_HT0,5,simulated
r2,0.01998345899131459,FS1_HT0,5,simulated
CCC,-0.004235686048139321,FS1_HT1,5,simulated
MAE,0.9613522175392838,FS1_HT1,5,simulated
R2,-0.28412324844540554,FS1_HT1,5,simulated
RMSE,1.196381133008892,FS1_HT1,5,simulated
RMSPE,23.41388292966656,FS1_HT1,5,simulated
RSR,1.1306120456737676,FS1_HT1,5,simulated
r,-0.04440846726063231,FS1_HT1,5,simulated
r2,0.047793442670049806,FS1_HT1,5,simulated
CCC,0.28699155048256747,FS0_HT0,5,spectral
MAE,4.747733027690997,FS0_HT0,5,spectral
R2,0.07536624937865652,FS0_HT0,5,spectral
RMSE,6.030935709885371,FS0_HT0,5,spectral
RMSPE,0.12265018419504459,FS0_HT0,5,spectral
RSR,0.9614336628562082,FS0_HT0,5,spectral
r,0.34752662019400044,FS0_HT0,5,spectral
r2,0.12095525554757429,FS0_HT0,5,spectral
CCC,0.2403012643305559,FS0_HT1,5,spectral
MAE,4.835560201485512,FS0_HT1,5,spectral
R2,0.00876061858281707,FS0_HT1,5,spectral
RMSE,6.229760785787159,FS0_HT1,5,spectral
RMSPE,0.12691706657309004,FS0_HT1,5,spectral
RSR,0.9927513414547032,FS0_HT1,5,spectral
r,0.29777795193859513,FS0_HT1,5,spectral
r2,0.0987339937394316,FS0_HT1,5,spectral
CCC,0.2237806894483816,FS1_HT0,5,spectral
MAE,4.897169673176014,FS1_HT0,5,spectral
R2,-0.014215080158077441,FS1_HT0,5,spectral
RMSE,6.312012168796993,FS1_HT0,5,spectral
RMSPE,0.12696841298228484,FS1_HT0,5,spectral
RSR,1.0050858160932603,FS1_HT0,5,spectral
r,0.2787340942545198,FS1_HT0,5,spectral
r2,0.08334010395194431,FS1_HT0,5,spectral
CCC,0.2399506550128482,FS1_HT1,5,spectral
MAE,4.883167726883816,FS1_HT1,5,spectral
R2,0.02433719147053106,FS1_HT1,5,spectral
RMSE,6.193972774270888,FS1_HT1,5,spectral
RMSPE,0.12451974847722021,FS1_HT1,5,spectral
RSR,0.9867052493294158,FS1_HT1,5,spectral
r,0.2977942271052149,FS1_HT1,5,spectral
r2,0.09213182316024286,FS1_HT1,5,spectral
CCC,0.38821406918435764,FS0_HT0,6,simulated
MAE,0.790029231545145,FS0_HT0,6,simulated
R2,0.2030626935025312,FS0_HT0,6,simulated
RMSE,0.9338833367727577,FS0_HT0,6,simulated
RMSPE,2.44288450258722,FS0_HT0,6,simulated
RSR,0.8922415937839165,FS0_HT0,6,simulated
r,0.5355746705928215,FS0_HT0,6,simulated
r2,0.2876419165151172,FS0_HT0,6,simulated
CCC,0.3926073399836723,FS0_HT1,6,simulated
MAE,0.7923439963514972,FS0_HT1,6,simulated
R2,0.2087458051803294,FS0_HT1,6,simulated
RMSE,0.9343199854606528,FS0_HT1,6,simulated
RMSPE,2.6951489694296416,FS0_HT1,6,simulated
RSR,0.8893633107599873,FS0_HT1,6,simulated
r,0.5276713750807133,FS0_HT1,6,simulated
r2,0.2790148852812596,FS0_HT1,6,simulated
CCC,0.0787469841255629,FS1_HT0,6,simulated
MAE,0.9003410376107542,FS1_HT0,6,simulated
R2,-0.15440463140965446,FS1_HT0,6,simulated
RMSE,1.1171745851055113,FS1_HT0,6,simulated
RMSPE,3.195834793696737,FS1_HT0,6,simulated
RSR,1.071067988295813,FS1_HT0,6,simulated
r,0.09969416964150699,FS1_HT0,6,simulated
r2,0.04726643462477166,FS1_HT0,6,simulated
CCC,0.07909288994122829,FS1_HT1,6,simulated
MAE,0.9116904402478649,FS1_HT1,6,simulated
R2,-0.1329098723144953,FS1_HT1,6,simulated
RMSE,1.1063418131007463,FS1_HT1,6,simulated
RMSPE,3.114602524139923,FS1_HT1,6,simulated
RSR,1.0616680589602416,FS1_HT1,6,simulated
r,0.12893112582865435,FS1_HT1,6,simulated
r2,0.03785221502491204,FS1_HT1,6,simulated
CCC,0.2819994746128375,FS0_HT0,6,spectral
MAE,4.662678393709097,FS0_HT0,6,spectral
R2,0.08783804674856757,FS0_HT0,6,spectral
RMSE,5.9907702301549985,FS0_HT0,6,spectral
RMSPE,0.1208827417261236,FS0_HT0,6,spectral
RSR,0.9548938921166373,FS0_HT0,6,spectral
r,0.35292217852654195,FS0_HT0,6,spectral
r2,0.1253246751744148,FS0_HT0,6,spectral
CCC,0.27662961528771535,FS0_HT1,6,spectral
MAE,4.847617776619344,FS0_HT1,6,spectral
R2,0.02198498936206226,FS0_HT1,6,spectral
RMSE,6.207894317427099,FS0_HT1,6,spectral
RMSPE,0.12535071013084345,FS0_HT1,6,spectral
RSR,0.9884993772103463,FS0_HT1,6,spectral
r,0.3225286133645701,FS0_HT1,6,spectral
r2,0.10495764180855746,FS0_HT1,6,spectral
CCC,0.2201914027142869,FS1_HT0,6,spectral
MAE,4.986871559368444,FS1_HT0,6,spectral
R2,-0.03218429004380432,FS1_HT0,6,spectral
RMSE,6.360494546073842,FS1_HT0,6,spectral
RMSPE,0.1287197354466762,FS1_HT0,6,spectral
RSR,1.0133162063038508,FS1_HT0,6,spectral
r,0.27038245653707327,FS1_HT0,6,spectral
r2,0.07884484698874686,FS1_HT0,6,spectral
CCC,0.24745777374634131,FS1_HT1,6,spectral
MAE,4.904477512349757,FS1_HT1,6,spectral
R2,0.0012669864424353027,FS1_HT1,6,spectral
RMSE,6.270790546771746,FS1_HT1,6,spectral
RMSPE,0.12731116765220937,FS1_HT1,6,spectral
RSR,0.9981280643694621,FS1_HT1,6,spectral
r,0.29661406648212807,FS1_HT1,6,spectral
r2,0.09149626864018291,FS1_HT1,6,spectral
CCC,0.3365173087162136,FS0_HT0,7,simulated
MAE,0.7395641295013321,FS0_HT0,7,simulated
R2,0.13132039899718925,FS0_HT0,7,simulated
RMSE,0.9123220848208298,FS0_HT0,7,simulated
RMSPE,7.328935092316911,FS0_HT0,7,simulated
RSR,0.9233616373440542,FS0_HT0,7,simulated
r,0.479609178822274,FS0_HT0,7,simulated
r2,0.28626955525047926,FS0_HT0,7,simulated
CCC,0.35971180102685396,FS0_HT1,7,simulated
MAE,0.7520546419979172,FS0_HT1,7,simulated
R2,0.11855214798070687,FS0_HT1,7,simulated
RMSE,0.9121284592346891,FS0_HT1,7,simulated
RMSPE,7.874721802736391,FS0_HT1,7,simulated
RSR,0.9256162789614633,FS0_HT1,7,simulated
r,0.471533941484815,FS0_HT1,7,simulated
r2,0.30227842381363057,FS0_HT1,7,simulated
CCC,-0.05599204252084207,FS1_HT0,7,simulated
MAE,0.9944910464832741,FS1_HT0,7,simulated
R2,-0.45372545052962393,FS1_HT0,7,simulated
RMSE,1.185503203946953,FS1_HT0,7,simulated
RMSPE,14.08397127436634,FS1_HT0,7,simulated
RSR,1.1980294908678366,FS1_HT0,7,simulated
r,-0.08083289294418404,FS1_HT0,7,simulated
r2,0.07696745554543859,FS1_HT0,7,simulated
CCC,-0.07243513524047517,FS1_HT1,7,simulated
MAE,0.9586359967158453,FS1_HT1,7,simulated
R2,-0.35138232785661444,FS1_HT1,7,simulated
RMSE,1.1449714578824333,FS1_HT1,7,simulated
RMSPE,14.047619138399458,FS1_HT1,7,simulated
RSR,1.1577554907448742,FS1_HT1,7,simulated
r,-0.1105286582345784,FS1_HT1,7,simulated
r2,0.057927546154068296,FS1_HT1,7,simulated
