metric,mean,method,i,dataset
RMSE,1.0850879586511575,FS1_HT1,3,simulated
RMSPE,3.9858028345273078,FS1_HT1,3,simulated
RSR,1.1054786949320548,FS1_HT1,3,simulated
r,-0.11200390207793816,FS1_HT1,3,simulated
r2,0.04779563958983478,FS1_HT1,3,simulated
CCC,0.033536246925734106,FS0_HT0,3,spectral
MAE,4.883644834787393,FS0_HT0,3,spectral
R2,0.006886410447275004,FS0_HT0,3,spectral
RMSE,6.266563490102126,FS0_HT0,3,spectral
RMSPE,0.12991596902976404,FS0_HT0,3,spectral
RSR,0.9964718044315768,FS0_HT0,3,spectral
r,0.1823894037487997,FS0_HT0,3,spectral
r2,0.036240370941495646,FS0_HT0,3,spectral
CCC,0.016528440581160687,FS0_HT1,3,spectral
MAE,4.962930194961153,FS0_HT1,3,spectral
R2,-0.033247084844784044,FS0_HT1,3,spectral
RMSE,6.388316988920012,FS0_HT1,3,spectral
RMSPE,0.13154959120067017,FS0_HT1,3,spectral
RSR,1.0162240395796593,FS0_HT1,3,spectral
r,0.08609158172386917,FS0_HT1,3,spectral
r2,0.016112015228457503,FS0_HT1,3,spectral
CCC,0.02383820614279078,FS1_HT0,3,spectral
MAE,4.904946879744432,FS1_HT0,3,spectral
R2,-0.01381128057313168,FS1_HT0,3,spectral
RMSE,6.333685715471188,FS1_HT0,3,spectral
RMSPE,0.13139553229423193,FS1_HT0,3,spectral
RSR,1.006508154925688,FS1_HT0,3,spectral
r,0.1390457230772194,FS1_HT0,3,spectral
r2,0.024535884457314312,FS1_HT0,3,spectral
CCC,0.005044353905877977,FS1_HT1,3,spectral
MAE,4.9112880164416115,FS1_HT1,3,spectral
R2,-0.0017663318040466835,FS1_HT1,3,spectral
RMSE,6.291468877572308,FS1_HT1,3,spectral
RMSPE,0.1301888826976624,FS1_HT1,3,spectral
RSR,1.000871612364606,FS1_HT1,3,spectral
r,0.102052327666314,FS1_HT1,3,spectral
r2,0.014384501945901757,FS1_HT1,3,spectral
CCC,0.4318744507593973,FS0_HT0,4,simulated
MAE,0.7191448275563103,FS0_HT0,4,simulated
R2,0.2719546974812673,FS0_HT0,4,simulated
RMSE,0.8527527514662256,FS0_HT0,4,simulated
RMSPE,2.9427142758611944,FS0_HT0,4,simulated
RSR,0.8503837303832554,FS0_HT0,4,simulated
r,0.5717946398763274,FS0_HT0,4,simulated
r2,0.3446249264042502,FS0_HT0,4,simulated
CCC,0.28800088774520444,FS0_HT1,4,simulated
MAE,0.7960992289796814,FS0_HT1,4,simulated
R2,0.07955445121530265,FS0_HT1,4,simulated
RMSE,0.9439504815830144,FS0_HT1,4,simulated
