N,Method,Time
50,In-Sample,0.0006940364837646484
50,In-Sample,0.0009577274322509766
50,In-Sample,0.0007009506225585938
50,In-Sample,0.0007951259613037109
50,In-Sample,0.0007960796356201172
50,In-Sample,0.0007011890411376953
50,In-Sample,0.0006878376007080078
50,In-Sample,0.0007140636444091797
50,In-Sample,0.0008418560028076172
50,In-Sample,0.0006937980651855469
50,In-Sample,0.0007381439208984375
50,In-Sample,0.0007600784301757812
50,In-Sample,0.001116037368774414
50,In-Sample,0.0007250308990478516
50,In-Sample,0.000720977783203125
50,In-Sample,0.0006630420684814453
50,In-Sample,0.0006558895111083984
50,In-Sample,0.0006461143493652344
50,In-Sample,0.0006887912750244141
50,In-Sample,0.0006988048553466797
50,In-Sample,0.0007870197296142578
50,In-Sample,0.0007128715515136719
50,In-Sample,0.0006880760192871094
50,In-Sample,0.0006780624389648438
50,In-Sample,0.000701904296875
50,In-Sample,0.0008292198181152344
50,In-Sample,0.0006730556488037109
50,In-Sample,0.0006809234619140625
50,In-Sample,0.0006468296051025391
50,In-Sample,0.0008089542388916016
50,In-Sample,0.0007679462432861328
50,In-Sample,0.0006546974182128906
50,In-Sample,0.0008471012115478516
50,In-Sample,0.0006749629974365234
50,In-Sample,0.0006461143493652344
50,In-Sample,0.0006787776947021484
50,In-Sample,0.0007770061492919922
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0007331371307373047
50,In-Sample,0.0007429122924804688
50,In-Sample,0.0007538795471191406
50,In-Sample,0.0006923675537109375
50,In-Sample,0.0007452964782714844
50,In-Sample,0.0006711483001708984
50,In-Sample,0.0006649494171142578
50,In-Sample,0.00066375732421875
50,In-Sample,0.0008130073547363281
50,In-Sample,0.0006699562072753906
50,In-Sample,0.0006992816925048828
50,In-Sample,0.0007288455963134766
50,In-Sample,0.0006699562072753906
50,In-Sample,0.0006527900695800781
50,In-Sample,0.0007040500640869141
50,In-Sample,0.0007309913635253906
50,In-Sample,0.0006778240203857422
50,In-Sample,0.000988006591796875
50,In-Sample,0.000701904296875
50,In-Sample,0.0008342266082763672
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0006551742553710938
50,In-Sample,0.0006918907165527344
50,In-Sample,0.0006709098815917969
50,In-Sample,0.0006799697875976562
50,In-Sample,0.0007638931274414062
50,In-Sample,0.00066375732421875
50,In-Sample,0.0006589889526367188
50,In-Sample,0.0008368492126464844
50,In-Sample,0.0006737709045410156
50,In-Sample,0.0007350444793701172
50,In-Sample,0.0007581710815429688
50,In-Sample,0.0006659030914306641
50,In-Sample,0.0006721019744873047
50,In-Sample,0.0009829998016357422
50,In-Sample,0.0006930828094482422
50,In-Sample,0.0006740093231201172
50,In-Sample,0.0006561279296875
50,In-Sample,0.0006999969482421875
50,In-Sample,0.0006656646728515625
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0006659030914306641
50,In-Sample,0.0007319450378417969
50,In-Sample,0.0006461143493652344
50,In-Sample,0.00066375732421875
50,In-Sample,0.0006489753723144531
50,In-Sample,0.0009207725524902344
50,In-Sample,0.0007197856903076172
50,In-Sample,0.0006511211395263672
50,In-Sample,0.0007441043853759766
50,In-Sample,0.0008068084716796875
50,In-Sample,0.0006499290466308594
50,In-Sample,0.0006520748138427734
50,In-Sample,0.0008769035339355469
50,In-Sample,0.0007598400115966797
50,In-Sample,0.0007359981536865234
50,In-Sample,0.0006508827209472656
50,In-Sample,0.0007276535034179688
50,In-Sample,0.0007119178771972656
50,In-Sample,0.0006518363952636719
50,In-Sample,0.0006861686706542969
50,In-Sample,0.0007109642028808594
50,In-Sample,0.0007469654083251953
50,In-Sample,0.0006728172302246094
50,In-Sample,0.0007021427154541016
50,In-Sample,0.0007610321044921875
50,In-Sample,0.0006651878356933594
50,In-Sample,0.0006501674652099609
50,In-Sample,0.0007429122924804688
50,In-Sample,0.0006709098815917969
50,In-Sample,0.0006740093231201172
50,In-Sample,0.0006628036499023438
50,In-Sample,0.0007009506225585938
50,In-Sample,0.0006568431854248047
50,In-Sample,0.0006518363952636719
50,In-Sample,0.0006856918334960938
50,In-Sample,0.0007491111755371094
50,In-Sample,0.0006990432739257812
50,In-Sample,0.0006692409515380859
50,In-Sample,0.0007979869842529297
50,In-Sample,0.0006930828094482422
50,In-Sample,0.0006771087646484375
50,In-Sample,0.0006558895111083984
50,In-Sample,0.0008108615875244141
50,In-Sample,0.0006568431854248047
50,In-Sample,0.0006699562072753906
50,In-Sample,0.000701904296875
50,In-Sample,0.0006570816040039062
50,In-Sample,0.0006470680236816406
50,In-Sample,0.0006678104400634766
50,In-Sample,0.0008058547973632812
50,In-Sample,0.0006670951843261719
50,In-Sample,0.0006787776947021484
50,In-Sample,0.0007228851318359375
50,In-Sample,0.0006940364837646484
50,In-Sample,0.0006537437438964844
50,In-Sample,0.000705718994140625
50,In-Sample,0.0006639957427978516
50,In-Sample,0.0006442070007324219
50,In-Sample,0.0008060932159423828
50,In-Sample,0.0006642341613769531
50,In-Sample,0.0007090568542480469
50,In-Sample,0.0007088184356689453
50,In-Sample,0.0006830692291259766
50,In-Sample,0.0006656646728515625
50,In-Sample,0.0006499290466308594
50,In-Sample,0.0007920265197753906
50,In-Sample,0.0006401538848876953
50,In-Sample,0.0007560253143310547
